seg/size,100,200,300,400,500,600,700,800,900
0.5,209,224,239,252,264,276,287,296,302
0.6,190,207,225,242,259,274,288,301,311
0.7,164,185,207,229,250,270,288,305,318
0.8,133,159,185,213,238,262,285,306,322
0.9,92,124,155,186,217,246,276,302,325
0.99,42,76,111,145,179,213,248,282,316
