story_id,fake_url,fact_url
28,infowars.com/spirit-cooking-clinton-campaign-chairman-invited-to-bizarre-satanic-performance/,snopes.com/%john-podesta-spirit-cooking/
29,infowars.com/video-bizarre-hillary-behavior-caught-on-camera/,snopes.com/%hillary-clinton-seizure-video/
30,infowars.com/video-black-lives-matter-rioters-target-whites-for-beat-downs/,snopes.com/%black-protesters-targeted-whites-in-milwaukee/
31,infowars.com/was-hillary-wearing-an-earpiece-during-last-nights-presidential-forum/,snopes.com/%hillary-clinton-secret-earpiece/
31,infowars.com/was-hillary-wearing-an-earpiece-during-last-nights-presidential-forum/,snopes.com/%hillary-clinton-secret-earpiece/
32,infowars.com/world-champion-poker-player-clinton-secretly-signaled-moderator-during-debate/,snopes.com/%debate-secret-hand-signals/
33,intellihub.com/video-hillary-clinton-brags-getting-pedophile-off-hook/,snopes.com/%hillary-clinton-freed-child-rapist-laughed-about-it/
34,nationalreport.net/city-michigan-first-fully-implement-sharia-law/,snopes.com/politics/satire/sharia.asp
35,nowtheendbegins.com/flag-flown-democratic-convention-jihad-flag-palestine/,snopes.com/%flags-banned-at-dnc/
36,politicususa.com/2017/01/23/cbs-confirms-reports-donald-trump-brought-cheering-props-cia-visit.html,snopes.com/%trump-crowd-at-cia/
37,redflagnews.com/headlines-2016/julian-assange-confirms-sanders-was-threatened-into-dropping-out,snopes.com/%julian-assange-bernie-sanders-was-threatened/
38,redflagnews.com/headlines/1974-diary-surfaces-hillary-fired-for-lying-unethical-behavior-on-watergate-committee,snopes.com/%politics/clintons/zeifman.asp
39,theblaze.com/news/2017/01/09/caitlyn-jenner-reportedly-planning-nude-photo-shoot-in-2017/,snopes.com/%caitlyn-jenner-sports-illustrated/
40,thenewsnerd.com/us/mexico-says-they-will-close-border-if-trump-elected/,snopes.com/%mexico-border-trump-elected/
41,wnd.com/%bombshell-donna-brazile-probing-seth-rich-murder-says-private-eye/,snopes.com/%seth-rich-conspiracy-theory/
41,wnd.com/%twitter-suspends-news-agency-for-seth-rich-report/,snopes.com/%seth-rich-conspiracy-theory/
42,worldnewsdailyreport.com/yoko-ono-i-had-an-affair-with-hillary-clinton-in-the-70s/,snopes.com/media/notnews/yokohillary.asp
43,yournewswire.com/california-jerry-brown-hiv-blood/,factcheck.org/%false-headline-hiv-blood-donation/
43,yournewswire.com/california-jerry-brown-hiv-blood/,snopes.com/%is-california-gov-positive-people-blood/
44,yournewswire.com/charlottesville-inside-job/,factcheck.org/%charlottesville-stand-order/
44,yournewswire.com/charlottesville-inside-job/,snopes.com/%were-police-told-stand-down-charlottesville/
45,yournewswire.com/clinton-employee-arrested-treason/,snopes.com/%candace-claiborne-treason/
46,yournewswire.com/haiti-exposed-clinton-dead/,snopes.com/%klaus-eberwein/
47,yournewswire.com/morgan-freeman-jail-hillary/,factcheck.org/%freeman-didnt-say-lock/
47,yournewswire.com/morgan-freeman-jail-hillary/,politifact.com/punditfact/statements/2017/nov/01/blog-posting/fake-news-morgan-freeman-did-not-say-he-wanted-hil/
47,yournewswire.com/morgan-freeman-jail-hillary/,snopes.com/%morgan-freeman-jailing-hillary-restore-faith/
48,yournewswire.com/wikileaks-clinton-bribed-6-republicans/,snopes.com/%podesta-emails-show-3-prominent-republicans-on-clinton-payroll/
49,yournewswire.com/youngest-leader-george-soros/,politifact.com/punditfact/statements/2017/oct/26/blog-posting/did-austrias-sebastian-kurz-ban-george-soros-organ/
