url,num_tweets
https://politics.theonion.com/rnc-we-warned-you-gay-marriage-would-be-a-slippery-slo-1821095609?__twitter_impression=true,15175
http://www.theblaze.com/news/2017/01/09/caitlyn-jenner-reportedly-planning-nude-photo-shoot-in-2017/,15038
http://www.breitbart.com/big-government/2017/03/13/exclusive-audio-emerges-of-when-paul-ryan-abandoned-donald-trump-i-am-not-going-to-defend-donald-trump-not-now-not-in-the-future/amp/a/,14950
http://www.breitbart.com/london/2018/02/26/police-dont-know-rape-20-per-cent-sadiq-khans-london/amp/?__twitter_impression=true,14904
http://www.politicususa.com/2017/08/03/governor-switched-parties-trump-owes-millions-taxes-deal-russian-company.html,14901
http://www.infowars.com/video-ex-cop-astonished-after-taking-medical-marijuana-for-parkinsons/,14719
https://www.theblaze.com/video/rapper-who-performed-at-march-for-our-lives-was-arrested-for-gun-related-crime-last-year,14691
https://www.theonion.com/mark-zuckerberg-prepares-for-congressional-testimony-by-1824149833/amp?__twitter_impression=true,14571
http://www.clickhole.com/article/embarrassing-us-ranked-182nd-world-alphabetically-1855,14505
http://www.breitbart.com/california/2017/10/17/ice-detainer-issued-for-suspected-wine-country-arsonist-in-sonoma-jail/amp/,14176
http://yournewswire.com/clinton-employee-arrested-treason/amp/hellerys/,14149
http://yournewswire.com/california-jerry-brown-hiv-blood/,14083
http://www.breitbart.com/big-government/2018/03/15/secret-empire-joe-biden-john-kerry-billion-dollar-deal-chinese-government/amp/?__twitter_impression=true,14016
http://occupydemocrats.com/2017/05/10/sean-spicers-replacement-just-got-nailed-federal-complaint/,13947
http://www.politicususa.com/2017/02/18/trump-lie-exposed-proof-indebted-russian-mobsters.html,13840
http://www.breitbart.com/video/2017/10/03/michelle-obama-people-dont-trust-politics-gop-men-white/amp/,13831
https://www.infowars.com/media-completely-ignores-bombshell-seymour-hersh-revelations-on-seth-rich/,13818
http://yournewswire.com/charlottesville-inside-job/amp/@seanhannity/,13784
http://twitchy.com/gregp-3534/2017/01/09/flashback-meryl-streep-gave-roman-polanski-a-standing-ovation-at-the-2003-oscars/amp/,13726
https://www.infowars.com/racial-justice-rap-video-depicts-white-child-being-hanged/,13690
http://www.breitbart.com/big-government/2017/10/26/nolte-hillary-clinton-colluded-with-russians-to-rig-election-against-trump/amp/,13675
http://www.veteranstoday.com/2016/08/24/vt-exclusive-largest-pedophile-ring-in-history-70000-members-heads-of-state-the-rats-scramble/25/,13666
http://www.theonion.com/article/my-work-here-done-smiles-contented-bannon-bursting-56698?source=techstories.org,13621
https://politics.theonion.com/fbi-warns-republican-memo-could-undermine-faith-in-mass-1822639681?__twitter_impression=true,13535
http://www.theonion.com/graphic/super-bowl-confetti-made-entirely-from-shredded-co-35146,13423
http://www.wnd.com/2017/05/twitter-suspends-news-agency-for-seth-rich-report/,13261
http://www.infowars.com/lady-gaga-to-conduct-satanic-ritual-at-super-bowel-li/,13153
http://www.infowars.com/report-votes-switched-from-trump-to-hillary-in-texas/,13018
http://www.breitbart.com/big-government/2017/11/02/rep-matt-gaetz-says-jeff-sessions-recused-uranium-one-deal/,12944
http://www.bipartisanreport.com/2017/04/15/new-york-ag-opens-investigation-into-trumps-ties-to-organized-crime-details/,12810
http://www.breitbart.com/big-government/2017/04/21/shattered-revelation-clinton-campaign-hatched-russian-hacking-narrative-24-hours-after-hillarys-loss/amp/,12725
https://entertainment.theonion.com/new-star-wars-film-once-again-disappoints-die-hard-ni-1821291309?__twitter_impression=true,12695
http://www.politicususa.com/2017/04/22/science-march-dc-outdraws-donald-trumps-inauguration.html,12375
http://www.infowars.com/exclusive-obama-illegally-robbed-fannie-freddie-to-fund-obamacare/,12370
https://politics.theonion.com/gop-leaders-celebrate-decisive-win-over-americans-1821450809?ICID=ref_fark,12262
http://www.breitbart.com/tech/2018/03/20/former-employee-horrifying-misuse-of-user-data-was-routine-at-facebook/amp/?__twitter_impression=true,12114
http://www.politicususa.com/tag/poll-trump-unfit-for-office,12090
http://www.breitbart.com/big-journalism/2017/06/26/exclusive-donald-trump-jr-jeff-zucker-must-address-cnns-very-fake-news-scandal-in-on-camera-press-briefing/amp/,12072
https://www.infowars.com/alt-left-leader-vows-to-crush-skulls-with-with-baseball-bat-during-patriot-prayer-rally/,12048
http://www.infowars.com/new-wikileaks-donna-brazile-gives-hillary-another-debate-question-in-advance/,12031
https://www.theonion.com/alabama-forced-to-release-thousands-of-sex-offenders-af-1821015675/amp?__twitter_impression=true,12024
