Date,For,Against
2016-08-22 14,2150.0,102.0
2016-08-22 15,2153.0,102.0
2016-08-22 16,2158.0,102.0
2016-08-22 17,2159.0,105.0
2016-08-22 18,2162.0,105.0
2016-08-22 19,2164.0,105.0
2016-08-22 20,2164.0,105.0
2016-08-22 21,2166.0,105.0
2016-08-22 22,2167.0,105.0
2016-08-22 23,2172.0,105.0
2016-08-23 00,2178.0,107.0
2016-08-23 01,2180.0,108.0
2016-08-23 02,2180.0,109.0
2016-08-23 03,2181.0,109.0
2016-08-23 04,2182.0,110.0
2016-08-23 05,2182.0,110.0
2016-08-23 06,2186.0,110.0
2016-08-23 07,2192.0,110.0
2016-08-23 08,2193.0,110.0
2016-08-23 09,2193.0,110.0
2016-08-23 10,2193.0,110.0
2016-08-23 11,2195.0,110.0
2016-08-23 12,2195.0,111.0
2016-08-23 13,2197.0,111.0
2016-08-23 14,2198.0,112.0
2016-08-23 15,2199.0,112.0
2016-08-23 16,2214.0,113.0
2016-08-23 17,2221.0,113.0
2016-08-23 18,2222.0,113.0
2016-08-23 19,2222.0,113.0
2016-08-23 20,2226.0,113.0
2016-08-23 21,2227.0,113.0
2016-08-23 22,2229.0,113.0
2016-08-23 23,2230.0,114.0
2016-08-24 00,2231.0,114.0
2016-08-24 01,2234.0,114.0
2016-08-24 02,2236.0,117.0
2016-08-24 03,2236.0,118.0
2016-08-24 04,2236.0,118.0
2016-08-24 05,2236.0,119.0
2016-08-24 06,2237.0,119.0
2016-08-24 07,2237.0,119.0
2016-08-24 08,2237.0,119.0
2016-08-24 09,2237.0,119.0
2016-08-24 10,2238.0,119.0
2016-08-24 11,2239.0,119.0
2016-08-24 12,2239.0,119.0
2016-08-24 13,2239.0,119.0
2016-08-24 14,2243.0,119.0
2016-08-24 15,2247.0,119.0
2016-08-24 16,2259.0,119.0
2016-08-24 17,2263.0,119.0
2016-08-24 18,2264.0,120.0
2016-08-24 19,2265.0,120.0
2016-08-24 20,2267.0,120.0
2016-08-24 21,2267.0,120.0
2016-08-24 22,2269.0,120.0
2016-08-24 23,2269.0,120.0
2016-08-25 00,2269.0,120.0
2016-08-25 01,2271.0,120.0
2016-08-25 02,2279.0,121.0
2016-08-25 03,2285.0,121.0
2016-08-25 04,2289.0,121.0
2016-08-25 05,2289.0,121.0
2016-08-25 06,2291.0,121.0
2016-08-25 07,2291.0,121.0
2016-08-25 08,2291.0,121.0
2016-08-25 09,2291.0,121.0
2016-08-25 10,2291.0,121.0
2016-08-25 11,2291.0,121.0
2016-08-25 12,2292.0,121.0
2016-08-25 13,2293.0,121.0
2016-08-25 14,2293.0,121.0
2016-08-25 15,2294.0,121.0
2016-08-25 16,2296.0,122.0
