3.096208311220202125e-01,3.758915502594448307e-05,6.906608673504286040e-03,2.145409416354017162e-01,1.099611065207246365e-02,2.464491260335195319e-02,1.632224586985428299e-04,2.180712310181165403e-01
2.855243833006368348e+01,2.891926519323413311e-02,6.549230765201181192e+00,2.148939113615795193e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.059338068303130934e-03,1.467251103917892874e-01
4.461947844153060089e-02,2.486182771030623763e-05,2.512811101182392884e-02,1.953327130912907994e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.491714621706518552e-04,2.132979105514276608e-01
3.772792967616622750e-02,8.672571719037683004e-06,1.191635960425483504e-02,1.257755538816340557e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.166751965584415969e-03,1.320036324590952159e-01
3.979379366517012823e-02,4.318592010811126439e-06,3.957477828243029759e-03,2.564629060424674090e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.606153634688461864e-03,2.600653345290878105e-01
1.195970543765566413e-01,8.243784427700403183e-05,3.494907725272981824e-02,3.279044445691758208e-02,2.034955287689229828e-02,1.099923562823273554e-01,9.626918487414127046e-06,4.734143964081519856e-02
1.158035990479369559e+00,5.408042908711604719e-04,3.308905284958753024e-01,1.159044662980443618e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.301823810450479426e-03,1.176163103384340491e+00
5.990788960969574244e-03,2.336227188850416376e-05,2.594818395659092766e-02,9.333166666406125245e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.480494401754562661e-04,9.453679170213102889e-01
0.000000000000000000e+00,2.994263995819114825e+03,1.269826111155978724e+05,1.075992456372235756e+05,6.667190835682034958e+03,1.670154587865792239e-01,1.416336121618961386e+00,6.722885424851665138e-05
5.315147332303189387e+01,1.158176890546958352e-04,1.551525196817793786e-02,8.002435020855530601e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.190664867792286120e-03,8.060466485198723996e-01
1.331629766386340785e-01,8.040025075221986694e-05,2.535880235940797880e-02,1.184964587295794930e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.084045061967573319e-04,3.181566126856013449e-02
3.761349106385854668e+01,1.964890866368148439e-05,1.625419798687805645e-02,3.103132807923547620e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.903758499828238230e-03,3.148559683421970901e-01
3.904695581021444539e-01,3.839261344626062884e-04,3.930968847303210889e-02,6.233872245750405466e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.857928558511868017e-05,6.296406995239814397e-02
8.750985501424878521e+01,2.601075489637199797e-02,8.233121669152020372e-01,7.569158585483380941e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.224891515187170321e-01,5.356404589888774919e-04
