seg/alpha,"0,75","0,76","0,77","0,78","0,79","0,8","0,81","0,82","0,83","0,84","0,85","0,86","0,87","0,88","0,89","0,9","0,91","0,92","0,93","0,94","0,95","0,96","0,97","0,98","0,99"
"0,5",0,0,0,0,0,0,0,0,0,0,4,13,36,63,85,110,133,163,185,213,249,253,287,329,372
"0,51",0,0,0,0,0,0,0,0,0,0,4,16,40,66,92,111,138,164,189,219,250,255,291,329,371
"0,52",0,0,0,0,0,0,0,0,0,1,7,23,43,66,97,116,140,165,194,220,252,258,293,331,374
"0,53",0,0,0,0,0,0,0,0,0,1,10,20,48,73,92,120,142,170,195,223,251,260,293,332,373
"0,54",0,0,0,0,0,0,0,0,1,3,10,29,54,76,100,122,146,170,197,224,253,263,296,333,375
"0,55",0,0,0,0,0,0,0,0,0,4,12,34,55,80,103,125,147,174,197,226,257,264,299,334,376
"0,56",0,0,0,0,0,0,0,0,1,5,14,33,60,85,104,126,152,175,201,229,257,264,299,336,377
"0,57",0,0,0,0,0,0,0,0,1,5,19,36,64,87,107,133,153,177,203,229,258,267,301,337,378
"0,58",0,0,0,0,0,0,0,0,1,7,24,47,68,90,112,135,156,179,205,232,260,269,302,339,378
"0,59",0,0,0,0,0,0,0,0,2,8,23,48,69,93,112,136,158,182,207,233,261,270,304,339,379
"0,6",0,0,0,0,0,0,0,1,4,10,32,55,74,96,116,139,160,183,209,235,263,271,305,340,379
"0,61",0,0,0,0,0,0,0,0,2,13,33,56,77,100,119,139,160,187,212,235,264,275,305,340,380
"0,62",0,0,0,0,0,0,0,1,5,15,34,60,76,101,119,142,163,187,213,237,265,276,308,341,381
"0,63",0,0,0,0,0,0,0,1,4,16,44,63,84,103,124,145,166,189,213,238,266,277,308,343,382
"0,64",0,0,0,0,0,0,0,1,7,22,46,66,83,104,124,146,168,189,215,240,268,277,308,343,381
"0,65",0,0,0,0,0,0,0,1,8,22,49,67,90,108,127,149,171,194,216,241,269,279,310,344,381
"0,66",0,0,0,0,0,0,1,2,12,29,51,71,88,111,130,152,171,196,218,242,269,281,311,344,382
"0,67",0,0,0,0,0,0,1,2,15,35,54,73,92,112,132,151,172,195,218,244,269,281,313,344,382
"0,68",0,0,0,0,0,0,0,5,14,32,58,79,96,112,134,152,174,196,220,245,270,283,312,345,382
"0,69",0,0,0,0,0,0,2,7,17,40,55,78,99,115,134,157,176,197,220,245,271,284,313,347,382
"0,7",0,0,0,0,0,0,1,11,24,46,64,82,100,117,138,157,177,198,221,246,273,283,313,347,383
"0,71",0,0,0,0,0,0,2,9,23,45,61,84,101,123,141,157,179,198,223,247,273,285,314,348,383
"0,72",0,0,0,0,0,0,2,8,27,49,68,84,103,121,141,160,181,202,223,247,273,286,315,347,383
"0,73",0,0,0,0,0,0,3,11,30,50,72,89,106,123,143,162,181,203,225,247,273,287,315,348,384
"0,74",0,0,0,0,0,1,3,16,34,52,72,90,109,126,143,164,184,205,226,251,274,287,316,347,383
"0,75",0,0,0,0,0,1,4,14,41,59,76,92,111,128,145,166,185,205,225,249,274,287,316,348,384
"0,76",0,0,0,0,0,1,9,20,40,59,76,94,110,128,148,167,185,205,227,251,275,287,317,348,383
"0,77",0,0,0,0,0,3,10,23,43,64,80,97,114,129,149,169,186,207,228,251,275,288,318,349,383
"0,78",0,0,0,0,0,2,7,26,47,65,84,97,116,133,150,170,187,207,229,252,277,289,318,349,384
"0,79",0,0,0,0,1,2,11,29,47,66,86,98,116,133,152,172,188,210,230,251,275,291,319,349,384
"0,8",0,0,0,0,0,3,12,35,51,67,87,100,120,136,153,171,191,210,230,252,276,290,319,349,383
